"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.262192708E0,8.847677819E-2,2.809525725E-1,-2.379056633E-1
2.272169708E0,-7.464851517E-1,1.899058700E-1,-9.722399354E-1
2.282147708E0,-1.060069354E0,5.534389615E-2,-1.554284061E0
2.292124708E0,-1.095643083E0,4.397106171E-3,-1.641532120E0
2.302102708E0,-5.984256115E-1,1.358115238E-1,-1.452565312E0
2.312080708E0,2.414142850E-1,2.358320944E-1,-1.110965127E0
2.322057708E0,8.338742747E-1,2.424505578E-1,-3.225610667E-1
2.332035708E0,1.048864773E0,2.638683240E-1,3.221921074E-1
2.342013708E0,9.050563777E-1,3.328587444E-1,1.013087415E0
2.351990708E0,6.066099592E-1,4.171867038E-1,1.609981713E0
2.361968708E0,5.609209856E-1,2.036462420E-1,1.321146217E0
2.371945708E0,3.935031416E-1,-1.786768770E-1,5.020384276E-1
2.381923708E0,-9.011217132E-2,-1.709718548E-1,-1.710608786E-1
2.391901708E0,-5.093584838E-1,1.090882865E-1,-5.381484926E-1
2.401878708E0,-4.973369738E-1,1.935026385E-1,-8.724870211E-1
2.411856708E0,-2.172173372E-1,2.090794748E-1,-9.757231218E-1
2.421834708E0,6.285712972E-2,2.426632503E-1,-8.812403029E-1
2.431811708E0,3.673022798E-1,2.192605005E-1,-7.007350016E-1
2.441789708E0,2.914899129E-1,8.488724560E-2,-1.846147245E-1
2.451766708E0,1.303452542E-1,-6.454858303E-2,2.562805384E-1
2.461744708E0,1.118953154E-1,-1.013012570E-1,3.809735817E-1
2.471722708E0,1.819706867E-1,2.607258841E-2,2.209955156E-1
2.481699708E0,-1.415653302E-1,1.212151194E-1,-1.820770329E-1
2.491677708E0,-9.508135445E-2,2.008439639E-1,-2.054711580E-1
2.501655708E0,8.927119553E-2,1.673246540E-1,1.016637844E-1
2.511632708E0,-5.354902022E-2,-1.019447431E-2,1.083214241E-1
2.521610708E0,-1.176071315E-1,-2.910758570E-2,-9.535814703E-2
2.531587708E0,-2.276891888E-1,5.373693511E-2,-2.626499104E-1
2.541565708E0,-2.620382186E-1,-2.621949971E-2,-3.653457284E-1
2.551543708E0,-3.732088082E-1,-8.719835758E-2,-3.409681016E-1
2.561520708E0,-3.126710131E-1,1.071356088E-3,-1.331761837E-2
2.571498708E0,1.994067549E-1,9.274414927E-2,1.639290297E-1
2.581476708E0,4.655507787E-1,1.310862426E-1,3.158730215E-1
2.591453708E0,3.873217575E-1,2.210750377E-1,2.424267304E-1
2.601431708E0,1.678191823E-1,2.904304706E-1,2.483575612E-1
2.611408708E0,-7.210347801E-3,1.229590514E-1,2.668838793E-1
2.621386708E0,-2.033067746E-1,-8.950186819E-2,1.896374828E-1
2.631364708E0,-4.259749959E-1,-1.284595272E-1,1.620596749E-1
