"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.687616060E2,6.507587416E1,2.552472969E1,1.991103798E1,1.259423998E0,2.075862274E2,4.748651440E0,5.116820610E0
1.697616001E2,6.507586013E1,2.552472729E1,2.026134908E1,1.257645201E0,2.075862274E2,4.748651453E0,5.119962750E0
1.707615886E2,6.507584905E1,2.552472518E1,2.020197443E1,1.287226704E0,2.075862274E2,4.748651456E0,5.127495486E0
1.717615806E2,6.507583716E1,2.552471708E1,2.021991325E1,1.266821690E0,2.075862274E2,4.748651449E0,5.208770276E0
1.727615716E2,6.507582633E1,2.552470268E1,2.029413334E1,1.309222231E0,2.071264343E2,4.748651458E0,5.188291270E0
1.737615632E2,6.507581335E1,2.552468983E1,2.009868193E1,1.426878593E0,2.071264343E2,4.748651433E0,5.219711074E0
1.747615550E2,6.507579906E1,2.552467330E1,2.021475985E1,1.579913875E0,2.071264343E2,4.748651416E0,5.564724588E0
1.757615463E2,6.507578466E1,2.552465993E1,1.997586985E1,1.576811922E0,2.071264343E2,4.748651435E0,5.802722010E0
1.767615384E2,6.507577037E1,2.552464572E1,1.996866420E1,1.568840597E0,2.071264343E2,4.748651427E0,5.905164612E0
1.777615288E2,6.507575723E1,2.552463016E1,2.004683141E1,1.559353493E0,2.071264343E2,4.748651412E0,5.989645474E0
1.787615206E2,6.507574516E1,2.552461149E1,2.003203948E1,1.576785433E0,2.071264343E2,4.748651430E0,5.992727963E0
1.797615117E2,6.507573255E1,2.552459615E1,2.021971896E1,1.600813962E0,2.071264343E2,4.748651410E0,6.041043287E0
1.807615031E2,6.507571919E1,2.552458567E1,2.032842571E1,1.582128370E0,2.071264343E2,4.748651436E0,6.090731228E0
1.817614943E2,6.507570444E1,2.552457871E1,2.014418986E1,1.610114592E0,2.050983276E2,4.748651414E0,6.121184876E0
1.827614861E2,6.507569300E1,2.552456453E1,1.974589940E1,1.589482825E0,2.050983276E2,4.748651406E0,6.131547772E0
1.837614775E2,6.507568116E1,2.552455347E1,1.969585455E1,1.573139992E0,2.050983276E2,4.748651420E0,6.224173125E0
1.847614698E2,6.507566969E1,2.552453990E1,1.970745805E1,1.543416555E0,2.050983276E2,4.748651430E0,6.219150922E0
1.857614604E2,6.507565898E1,2.552452830E1,1.995470700E1,1.576704077E0,2.050983276E2,4.748651434E0,6.174119178E0
1.867614523E2,6.507564691E1,2.552451277E1,1.961902597E1,1.594639027E0,2.050983276E2,4.748651422E0,6.162651001E0
1.877614620E2,6.507563542E1,2.552449539E1,1.951841424E1,1.593393453E0,2.050983276E2,4.748651418E0,6.125496973E0
1.887614349E2,6.507562356E1,2.552447952E1,1.967107819E1,1.619014195E0,2.035033722E2,4.748651416E0,6.085738676E0
1.897614263E2,6.507561284E1,2.552445876E1,1.942110928E1,1.615156015E0,2.053000183E2,4.748651424E0,6.103776448E0
1.907614173E2,6.507560209E1,2.552443986E1,1.934830579E1,1.588662480E0,2.053000183E2,4.748651427E0,6.071872463E0
1.917614090E2,6.507559466E1,2.552443418E1,1.932487267E1,1.110763693E0,2.053000183E2,4.748651460E0,5.512621321E0
1.927614001E2,6.507558373E1,2.552442363E1,1.961943533E1,1.162168805E0,2.053000183E2,4.748651457E0,5.420054568E0
1.937613920E2,6.507557199E1,2.552440863E1,1.950228938E1,1.261996419E0,2.053000183E2,4.748651441E0,5.454092621E0
1.947613831E2,6.507556097E1,2.552438895E1,1.928796376E1,1.413996245E0,2.053000183E2,4.748651427E0,5.431457694E0
1.957613747E2,6.507555290E1,2.552437281E1,1.910714028E1,1.467165082E0,2.053000183E2,4.748651420E0,5.676355591E0
1.967613664E2,6.507554265E1,2.552435652E1,1.894458401E1,1.582022999E0,2.053000183E2,4.748651412E0,5.820373554E0
1.977613573E2,6.507553246E1,2.552433452E1,1.900001626E1,1.580850774E0,2.053000183E2,4.748651408E0,5.925791121E0
1.987613481E2,6.507553075E1,2.552429714E1,1.963662949E1,1.570105318E0,2.046611481E2,4.748651444E0,5.985317467E0
1.997613395E2,6.507556278E1,2.552425052E1,1.971058181E1,1.591014825E0,2.673563538E2,4.748651528E0,5.939707329E0
2.007613320E2,6.507556916E1,2.552423355E1,1.957851531E1,1.580712092E0,2.891525269E2,4.748651558E0,5.869528545E0
2.017613231E2,6.507557449E1,2.552420036E1,1.950188935E1,1.575999108E0,2.940931396E2,4.748651557E0,5.824295688E0
2.027613144E2,6.507558117E1,2.552416494E1,1.940846153E1,1.582311896E0,2.940931396E2,4.748651560E0,5.774770503E0
2.037613057E2,6.507558751E1,2.552413133E1,1.928596569E1,1.578933331E0,2.940931396E2,4.748651554E0,5.764259701E0
2.047612973E2,6.507559385E1,2.552409774E1,1.942661821E1,1.581219700E0,2.940931396E2,4.748651563E0,5.729365348E0
2.057612885E2,6.507559943E1,2.552406892E1,1.943140621E1,1.550567305E0,2.953271179E2,4.748651567E0,5.708632645E0
2.067612799E2,6.507560638E1,2.552403413E1,2.000148948E1,1.570806997E0,2.953271179E2,4.748651535E0,5.711101948E0
2.077612704E2,6.507561282E1,2.552400187E1,2.064080029E1,1.561273264E0,2.953271179E2,4.748651525E0,5.685608459E0
2.087612627E2,6.507561902E1,2.552397081E1,2.040605576E1,1.563435786E0,2.953271179E2,4.748651522E0,5.715090016E0
2.097612540E2,6.507562414E1,2.552394517E1,2.036522915E1,1.304030275E0,2.953271179E2,4.748651499E0,5.039854698E0
